scope,category_th,category_en,sub_category,resource,unit,ef_value,id,ref_source
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-236fa,kg,8060,86aa3245-cf68-4a17-92c7-0380c5df8226,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-245ca,kg,716,f7d092c7-263a-4f2e-a078-620e0729af52,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-245fa,kg,858,ec876fb0-263c-4e90-8a6c-28546e9ef9f6,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-365mfc,kg,804,26733201-7cc2-4962-ae3b-cd4b5bac0387,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,HFC-43-10mee,kg,1650,005ce0a2-7653-4e3b-89d8-404b4956ee07,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-125,kg,3170,e72bb132-b13d-46ce-bf7b-6b7331363c96,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-134,kg,1120,60d2bb24-4429-4458-9447-ddf75ef22ff9,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-134a,kg,1300,9d205937-94b0-4fab-800d-08b8e3003bf4,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-143,kg,328,d8741860-d58a-4a10-ba71-78d42d4f578c,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-143a,kg,4800,b1907550-cb74-49ca-8c5d-7722586390d4,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-32,kg,677,b545fe02-5f8f-4791-9986-2ed4efd33e2f,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-401A,kg,18,9289d3d9-4f38-4767-8748-4f00c4671391,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-401B,kg,15,8cc401fe-9631-4af0-a754-b47f30c1f2be,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-401C,kg,21,4c5ab11e-da40-44c2-abde-b63696856243,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-402A,kg,1902,e2d42fb9-c1f4-46df-94d5-7e5abef3c059,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-402B,kg,1205,2bfc80f2-47bf-4eb1-a8f2-f860af49c6d8,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-403B,kg,3471,a147d699-9c98-4a8c-ac2d-4119b260272f,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-404a,kg,3942.8,80129df1-5706-41db-838e-2cb01499ca6e,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-406A,kg,0,793e5ef1-8551-477d-aa9b-49b5f4b22efe,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-407a,kg,1923.4,3037c910-1284-45dd-a37f-7fc227cd0c16,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-407B,kg,2547,94e8b2fb-6189-44d6-ad2d-80906521eafb,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-407C,kg,1624.21,f30f828a-cfc3-44dc-ba2b-c43d33040d0e,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-407D,kg,1487,3a9b3b97-1d83-4282-aca6-0cfddd0f2596,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-408A,kg,2430,6a757030-5f3c-4bdc-aa95-38d1ebd5c3fb,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-409A,kg,0,4a3af8e6-b602-437a-91db-c7b8adc8d145,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-410a,kg,1923.5,c52ddc34-3c2a-4ce0-869f-7a9a6c667a06,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-410B,kg,2048,285acee6-573f-4dcb-88e3-4dc6b156272a,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-411A,kg,15,cae79f40-1eb0-46b7-b187-03c96261b0ce,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-411B,kg,4,1b945ea7-8f86-47bf-bf97-6dcce4461ba7,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-414A,kg,0,3096dfc3-dd78-44a6-bf7c-6511d72b4596,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-414B,kg,0,588c5a38-40fe-4eac-9a3e-72ce4bab0bee,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-417A,kg,2127,aaa1dcc1-2def-44ac-8364-ea6cd97cf716,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-422A,kg,2847,4ac5fe1e-db86-4c7f-a530-9049b922f35c,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-422D,kg,2473,33478a92-7d62-4d8d-9c41-38685696e2ba,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-424A,kg,3104,b6b08680-83c3-4b79-982b-92542aa8a5e6,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-426A,kg,1371,e6429b4a-4d6b-4e59-af94-9b82788189e3,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-428A,kg,3417,372132aa-ce85-43e4-888f-1059edcf0fb3,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-434A,kg,3075,e2d83dc5-878e-492b-b43f-ff9432eadcef,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-507A,kg,3985,f658a0ed-3a4e-4d3c-b8c2-bd3fb96f8258,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,R-508A,kg,11607,00939fc2-39c6-498a-ac80-e9510babaab3,
